Name,Description,ID-LB,ARS,Eligibility Requirements,Legal Basis
Bürgergeld beantragen,"Wenn Sie nicht genügend Geld zur Verfügung haben, um Ihren notwendigen Lebensunterhalt selbst zu finanzieren, dann können Sie Bürgergeld beantragen.",B100019.LB.106311931,000000000000,"Sie sind erwerbsfähig. Das heißt, dass Sie  mindestens 3 Stunden täglich arbeiten können und mindestens 15 Jahre alt sind und die Altersgrenze der gesetzlichen Rentenversicherung noch nicht erreicht haben. Wenn Sie nach 1963 geboren sind, liegt diese bei 67 Jahren. Sind Sie vor 1964 geboren, können Sie die für Sie geltende Altersgrenze in der Tabelle in § 7a Sozialgesetzbuch II (SGB II) nachschauen.   Sie sind hilfebedürftig. Das heißt, dass Sie Ihren eigenen notwendigen Lebensunterhalt und den Lebensunterhalt der mit Ihnen in einer Bedarfsgemeinschaft lebenden, nicht erwerbsfähigen Angehörigen weder aus eigenen Mitteln (Einkommen und Vermögen) und Kräften (Einsatz der Arbeitskraft) noch mithilfe anderer beziehungsweise vorrangiger Leistungen (zum Beispiel Arbeitslosengeld, Wohngeld, Kinderzuschlag) bestreiten können. Sie haben keine vorrangigen Ansprüche gegenüber anderen Leistungsträgern (zum Beispiel Wohngeld) oder anderen Personen, wie beispielsweise gegen geschiedene Ehepartner oder den Vater oder die Mutter Ihres Kindes. Sie leben in der Bundesrepublik Deutschland.",Zweites Buch Sozialgesetzbuch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2
Bildungskredit beantragen,"Wenn Sie finanzielle Unterstützung für Ihre schulische Ausbildung oder Ihr Studium brauchen, können Sie unter bestimmten Voraussetzungen einen zeitlich befristeten zinsgünstigen Bildungskredit beantragen.",B100019.LB.575549,000000000000,"Anträge auf Bildungskredite können stellen:  volljährige Studierende, Schülerinnen und Schüler maximal bis zur Vollendung des 36. Lebensjahres, deren Ausbildung schon fortgeschritten ist  Weitere Voraussetzungen:  Es werden nur Ausbildungen an Einrichtungen gefördert, die nach dem Bundesausbildungsförderungsgesetzes (BAföG) förderungsfähig sind. Eigenes Girokonto im Inland oder bei einem Studium im Ausland auch dort.  Studierende:  Als Studierender oder Studierende können Sie einen Bildungskredit erhalten, wenn Sie:  ein Bachelor-, Master- oder ein Studium mit dem Abschluss Staatsexamen oder Diplom in Vollzeit betreiben, ein Zusatz-, Ergänzungs- oder Aufbaustudium betreiben und bereits über den Abschluss eines grundständigen Studiengangs verfügen, im Rahmen Ihres Studiums ein Auslandssemester verbringen, ein Studium an einer ausländischen Hochschule verbringen, die einer inländischen gleichwertig ist, oder ein Praktikum im In- oder Ausland absolvieren (auch außerhalb Europas) bei einem grundständigen Studium, bspw. beim Bachelorstudium, die Zwischenprüfung bestanden haben    Hinweis: Sieht Ihre Studienordnung keine Zwischenprüfung vor, müssen Sie die üblichen Leistungen der ersten beiden Studienjahre - bei Studierenden in Bachelorstudiengängen die des ersten Studienjahres - erbracht haben. Schülerinnen und Schüler:  Als Schülerin oder Schüler können Sie einen Bildungskredit erhalten, wenn sie:  eine Ausbildung in Vollzeit an einer nach dem BAföG förderungsfähigen Ausbildungsstätte durchführen, über einen berufsqualifizierenden Abschluss verfügen oder mit der zu fördernden Ausbildung einen berufsqualifizierenden Abschluss erreichen und sich im vorletzten oder letzten Jahr der Ausbildung befinden.    Hinweis: eine (dreijährige) schulische Ausbildung wird im Regelfall erst ab dem zweiten Schulbesuchsjahr gefördert.",Förderbestimmungen zur Vergabe von Bildungskrediten (gültig ab dem 01.04.2009)<>https://www.bva.bund.de/DE/Services/Buerger/Schule-Ausbildung-Studium/Bildungskredit/Kreditrueckforderung/Foerderbestimmungen/foerderbestimmungen_node.html
Teilarbeitslosengeld beantragen,"Wenn Sie nebeneinander mehrere versicherungspflichtige Beschäftigungen ausgeübt haben und eine dieser versicherungspflichtigen Beschäftigungen verlieren, können Sie Teilarbeitslosengeld beantragen.",B100019.LB.103327062,000000000000,"Sie haben Anspruch auf Teilarbeitslosengeld, wenn Sie  teilarbeitslos sind, sich elektronisch im Fachportal der Bundesagentur für Arbeit oder persönlich bei der zuständigen Agentur für Arbeit teilarbeitslos gemeldet und  die Anwartschaftszeit für Teilarbeitslosengeld erfüllt haben.   Teilarbeitslos sind Sie, wenn Sie  eine versicherungspflichtige Beschäftigung verloren haben, die Sie neben mindestens einer weiteren versicherungspflichtigen Beschäftigung ausgeübt haben, die weitere(n) versicherungspflichtige(n) Beschäftigung(en) nach wie vor ausüben, eine neue versicherungspflichtige Beschäftigung suchen, den Vermittlungsbemühungen der Agentur für Arbeit zur Verfügung stehen. Sie sind also in der Lage und bereit, eine versicherungspflichtige Beschäftigung unter arbeitsmarktüblichen Bedingungen aufzunehmen.   Eine versicherungspflichtige Beschäftigung ist eine Beschäftigung, in der Sie monatlich mehr als EUR 450,00 Brutto verdienen.  Umfasst die fortgeführte versicherungspflichtige Beschäftigung mindestens 15 Stunden pro Woche, gelten Sie als teilarbeitslos. Wenn Sie diese Beschäftigung ebenfalls verlieren, sind Sie nicht mehr teilarbeitslos und haben keinen Anspruch auf Teilarbeitslosengeld. Wenn Sie weiterhin Leistungen beziehen möchten, müssen Sie sich unverzüglich elektronisch im Fachportal der Bundesagentur für Arbeit oder persönlich arbeitslos bei Ihrer zuständigen Agentur für Arbeit melden und Arbeitslosengeld beantragen. Wenn die fortgeführte Beschäftigung weniger als 15 Stunden umfasst, sind Sie teilarbeitslos, wenn Sie eine Beschäftigung unter 15 Stunden wöchentlich suchen.  Die Teilarbeitslosmeldung muss elektronisch im Fachportal der Bundesagentur für Arbeit oder persönlich bei Ihrer zuständigen Agentur für Arbeit erfolgen. Mit der persönlichen Teilarbeitslosmeldung gilt das Teilarbeitslosengeld als beantragt.  Die Anwartschaftszeit für das Teilarbeitslosengeld haben Sie erfüllt, wenn Sie in den letzten 2 Jahren vor der Teilarbeitslosmeldung und der eingetretenen Teilarbeitslosigkeit mindestens 12 Monate nebeneinander in mehrere versicherungspflichtige Beschäftigungen ausgeübt haben. Der Anspruch auf Teilarbeitslosengeld erlischt  spätestens nach Ablauf eines Jahres seit seiner Entstehung, auch während des Leistungsbezuges oder wenn Sie die Voraussetzungen für einen Anspruch auf Arbeitslosengeld erfüllen oder wenn Sie eine Erwerbstätigkeit für mehr als 2 Wochen oder mit einer Arbeitszeit von mehr als 5 Stunden wöchentlich aufnehmen.    Anrechnung von Nebeneinkommen:  Bei einer nicht versicherungspflichtigen Erwerbstätigkeit, die Sie während des Bezuges von Teilarbeitslosengeld ausüben und die nicht zum Erlöschen des Anspruchs führt, wird geprüft, ob und in welchem Umfang das Nebeneinkommen auf das Teilarbeitslosengeld anzurechnen ist.  Das Einkommen aus einer fortgeführten versicherungspflichtigen Beschäftigung ist kein Nebeneinkommen und wird deshalb nicht angerechnet.",§ 162 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__162.html || §§ 136 bis 161 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/
Übergangsgeld für Menschen mit Behinderungen beantragen,"Als Mensch mit Behinderungen können Sie zur Sicherung des Lebensunterhaltes Übergangsgeld erhalten, wenn Sie an bestimmten Bildungsmaßnahmen teilnehmen.",B100019.LB.102716305,000000000000,"Sie haben im Regelfall Anspruch auf Übergangsgeld, wenn folgende Bedingungen auf Sie zutreffen:  Sie haben eine Behinderung und benötigen deshalb eine besondere Unterstützung bei der Eingliederung in das Berufsleben. Die Bundesagentur für Arbeit ist Ihr zuständiger Rehabilitationsträger. Sie werden an einer der folgenden Maßnahmen teilnehmen:  Berufsausbildung, Berufsvorbereitung einschließlich einer erforderlichen Grundausbildung, individuelle betriebliche Qualifizierung im Rahmen der ""Unterstützten Beschäftigung"", Maßnahme im Eingangsverfahren oder Berufsbildungsbereich einer Werkstatt für behinderte Menschen oder bei einem anderen Leistungsanbieter oder berufliche Weiterbildung.   Für den Zeitraum der letzten 3 Jahre (Vorbeschäftigungszeit) trifft auf Sie eine der folgenden Voraussetzungen zu:  Sie waren mindestens 12 Monate sozialversichert. Sie haben Anspruch auf Arbeitslosengeld nach dem SGB III und dieses aktuell beantragt. Ihnen steht Arbeitslosenbeihilfe nach dem Soldatenversorgungsgesetz (SVG) zu.    Es gibt folgende Ausnahmen:  Sind Sie ein Berufsrückkehrer oder eine Berufsrückkehrerin mit Behinderungen, entfällt für Sie die Eingrenzung der Vorbeschäftigungszeit auf 3 Jahre.   Die Bedingungen der Vorbeschäftigungszeit können ganz entfallen, wenn Sie innerhalb des letzten Jahres vor Maßnahmebeginn  einen Ausbildungsabschluss an einer berufsbildenden Schule oder einer sonstigen Berufsbildungseinrichtung erworben haben und diese Ausbildung der Berufsausbildung in einem anerkannten Ausbildungsberuf entspricht oder ein Prüfungszeugnis erlangt haben, das dem Abschlusszeugnis einer Berufsausbildung in einem anerkannten Ausbildungsberuf gleichgestellt wurde.",§§ 66 bis 72 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9/index.html || §§ 118 bis 121 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/index.html
Leistungen zur Eingliederung von Selbständigen beantragen,"Wenn Sie Arbeitslosengeld II bekommen und sich selbständig machen möchten oder bereits selbständig sind, kann Ihr Jobcenter Sie bei notwendigen Anschaffungen von Sachgütern und durch kostenfreie Beratungen und Schulungen unterstützen.",B100019.LB.102713862,000000000000,"Um die Leistungen bekommen zu können, müssen folgende Voraussetzungen gegeben sein:  Sie beziehen Arbeitslosengeld II (Hartz IV). Sie wollen sich selbständig machen oder sind bereits selbständig tätig, das bedeutet  Sie arbeiten im eigenen Namen und auf eigene Rechnung und Sie tragen das wirtschaftliche Risiko ihrer Tätigkeit (Unternehmerrisiko).   Die Selbständigkeit muss Ihr Hauptberuf sein, das bedeutet  Sie arbeiten mindestens 15 Stunden pro Woche selbständig und Sie können innerhalb eines angemessenen Zeitraums Ihren Lebensunterhalt ganz oder zu einem erheblichen Teil mit Ihren erzielten Einnahmen bestreiten.   Sie müssen persönlich geeignet sein, eine selbständige Tätigkeit erfolgreich auszuüben. Dafür müssen Sie nachweisen, dass Sie über die Kenntnisse und Fähigkeiten verfügen, die Sie für die Selbständigkeit benötigen, zum Beispiel durch  Nachweise Ihrer fachlichen und unternehmerischen Qualifikation, Berufserfahrung oder die Teilnahme an Maßnahmen, die Sie auf die Existenzgründung vorbereiten.   Ihre selbständige Tätigkeit muss wirtschaftlich tragfähig sein, das bedeutet  Ihr Geschäftsmodell muss so ausgearbeitet und durchdacht sein, dass Ihre Existenzgründung langfristig erfolgreich sein kann Die Tragfähigkeit Ihrer selbständigen Tätigkeit ist durch eine fachkundige Stellungnahme zu belegen. Fachkundige Stellen können Kammern, Fachverbände oder Gründerinitiativen sein. Ihr Jobcenter benennt Ihnen die für Sie zuständige fachkundige Stelle in Ihrer Region. Üblicherweise müssen Sie dort detaillierte Unterlagen vorlegen (s. Punkt ""erforderliche Unterlagen"" oben).   Die Sachgüter, die Sie anschaffen möchten, müssen angemessen und notwendig für Ihre Arbeit sein. Andere Finanzierungsquellen scheiden aus, zum Beispiel spezielle Bundes- und Landesprogramme, lokale Wirtschaftsförderung oder Mikrokredite Die Förderung muss dem EU-Beihilferecht (De-minimis-Regelung) entsprechen.",§ 16c Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16c.html
Rente von der gesetzlichen Unfallversicherung erhalten,"Wenn Sie nach einem Arbeitsunfall oder wegen einer Berufskrankheit in Ihrer Erwerbsfähigkeit gemindert sind, erhalten Sie von der gesetzlichen Unfallversicherung eine Rente.",B100019.LB.582404,000000000000,"Wenn Sie gesetzlich unfallversichert sind, haben Sie unter folgenden Voraussetzungen Anspruch auf Rente:  Ihre Erwerbsfähigkeit ist gemindert:  infolge eines oder mehrerer Versicherungsfälle, über die 26. Woche nach dem Versicherungsfall hinaus, um mindestens 20 Prozent.",§ 56 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__56.html
Krankengeld für Selbstständige in der gesetzlichen Krankenversicherung beantragen,"Auch wenn Sie selbstständig sind, können Sie sich wie versicherungspflichtige Arbeitnehmende zum allgemeinen Beitragssatzmit gesetzlichem Krankengeldanspruch ab der 7. Woche versichern. Dafür müssen Sie eine Wahlerklärung gegenüber Ihrer Krankenkasse abgeben.",B100019.LB.103574931,000000000000,"Die Wahlerklärung gilt nur für einen zukünftig eintretenden Krankheitsfall.  Sind Sie zum Zeitpunkt der Antragsabgabe arbeitsunfähig oder tritt die Arbeitsunfähigkeit zwischen dem Tag der Abgabe und des Wirksamwerdens des Antrags ein, wirkt der Antrag ab dem Tag, an dem Sie wieder arbeitsfähig sind.",§ 44 Absatz 2 Satz 1 Nummer 2 Fünftes Buch Sozialgesetzbuch (SGB V)<>https://www.gesetze-im-internet.de/sgb_5/__44.html || § 46 Satz 4 Fünftes Buch Sozialgesetzbuch (SGB V)<>https://www.gesetze-im-internet.de/sgb_5/__46.html
Kostenübernahme bei Teilnahme an einer Arbeitserprobung oder Abklärung der beruflichen Eignung bekommen,"Damit Menschen mit Behinderungen Unterstützung bei der Arbeitsmarkt-Eingliederung bekommen können, muss unter Umständen vorab ihre berufliche Eignung festgestellt oder eine Arbeitserprobung durchgeführt werden. Die Agentur für Arbeit übernimmt die individuellen Teilnahmekosten.",B100019.LB.102730344,000000000000,"Sie haben eine Behinderung und Ihr zuständiger Rehabilitationsträger ist die Bundesagentur für Arbeit. Damit Sie die oben beschriebenen Leistungen bei Arbeitserprobung/Abklärung der beruflichen Eignung erhalten können, müssen Sie mit Ihrer Beraterin/Ihrem Berater die Teilnahme an einer durch die Agentur für Arbeit geförderten Diagnosemaßnahme vereinbart haben.",§ 49 Absatz 4 Satz 2 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__49.html || § 112 Absatz 2 Satz 2 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__112.html
Freiwillige Weiterversicherung in der Arbeitslosenversicherung beantragen,"Wenn Sie nicht mehr in der Arbeitslosenversicherung pflichtversichert sind, können Sie sich unter bestimmten Voraussetzungen auf freiwilliger Basis weiterversichern.",B100019.LB.645831,000000000000,"Sie waren innerhalb der letzten 30 Monate vor Aufnahme der Tätigkeit/Auslandsbeschäftigung beziehungsweise dem Beginn der Elternzeit/der beruflichen Weiterbildung mindestens 12 Monate in der Sozialversicherung pflichtversichert, zum Beispiel als Arbeitnehmer/in oder als Auszubildende/r oder Sie hatten unmittelbar vor Aufnahme der Tätigkeit/Auslandsbeschäftigung beziehungsweise dem Beginn der Elternzeit/der beruflichen Weiterbildung einen Anspruch auf eine Entgeltersatzleistung nach dem Dritten Sozialgesetzbuch (SGB III), zum Beispiel Arbeitslosengeld, nicht aber Arbeitslosengeld II/Hartz IV und Sie sind weder versicherungspflichtig noch versicherungsfrei in der Arbeitslosenversicherung. Das Versicherungspflichtverhältnis ist ausgeschlossen, wenn Sie als Selbstständige/r bereits versicherungspflichtig waren, Ihre selbständige Tätigkeit zweimal unterbrochen und in den Unterbrechungszeiträumen einen Anspruch auf Arbeitslosengeld geltend gemacht haben.",§ 28a Drittes Buch Sozialgesetzbuch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__28a.html
Kinderzuschlag beantragen,"Wenn Sie als Eltern genug Einkommen für sich selbst verdienen, aber das Einkommen nicht oder nur knapp für die gesamte Familie reicht, können Sie den Kinderzuschlag beantragen.",B100019.LB.581863,000000000000,"Um einen Kinderzuschlag zu bekommen, müssen folgende Voraussetzungen erfüllt sein:  Ihr Kind/Ihre Kinder ist/sind jünger als 25 Jahre, nicht verheiratet oder verpartnert und lebt/leben in Ihrem Haushalt. Sie beziehen für Ihr Kind/Ihre Kinder Kindergeld oder eine vergleichbare Leistung zum Beispiel aus dem Ausland. Sie verfügen  als Paar gemeinsam über ein Bruttoeinkommen von mindestens 900,00 EUR im Monat (ohne Wohngeld, Kindergeld und Kinderzuschlag) oder als alleinerziehende Person über mindestens 600,00 EUR im Monat.   Ihr Einkommen, das auf den Kinderzuschlag angerechnet wird, ist nicht so hoch, dass sich der Kinderzuschlag auf null reduziert. Sie verfügen über kein erhebliches Vermögen. Den Kinderzuschlag können Sie in der Regel erhalten, wenn Sie mit Ihrem Einkommen, dem Kindergeld, dem eventuell zustehendem Wohngeld und dem Kinderzuschlag den Bedarf der ganzen Familie im Sinne des SGB II decken können. Kinderzuschlag ist nachrangig gegenüber anderen möglichen Einkünften des Kindes; gegebenenfalls besteht die Verpflichtung, sich um vorrangige Ansprüche wie Unterhalt oder Unterhaltsvorschuss zu bemühen.",§ 6a Bundeskindergeldgesetz (BKGG)<>https://www.gesetze-im-internet.de/bkgg_1996/__6a.html
Berufsausbildungsbeihilfe beantragen,"Wenn Sie während Ihrer Ausbildung nicht bei Ihren Eltern wohnen, können Sie Berufsausbildungsbeihilfe beantragen, um so Ihre Lebenshaltungskosten zu decken.",B100019.LB.574724,000000000000,"Damit Sie die Berufsausbildungsbeihilfe bekommen können, müssen Sie und Ihre Berufsausbildung förderfähig sein. Förderungsberechtigter Personenkreis:  Sie wohnen während der Ausbildung nicht bei Ihren Eltern und der Ausbildungsbetrieb ist vom Elternhaus zu weit entfernt oder Sie  sind mindestens 18 Jahre alt oder sind oder waren verheiratet oder haben mindestens ein Kind, das bei Ihnen wohnt.   Auch wenn Sie nicht Deutscher sind, haben Sie grundsätzlich einen Anspruch auf Berufsausbildungsbeihilfe, es sei denn  Sie haben eine Aufenthaltsgestattung nach dem Asylgesetz. Sie sind geduldet und halten sich seit weniger als 15 Monaten ununterbrochen erlaubt, gestattet oder geduldet in Deutschland auf.   Sie können nicht die erforderlichen Mittel aufbringen, um folgende Kosten zu decken:  Kosten für den Lebensunterhalt Fahrtkosten zwischen Unterkunft und Ausbildungsstätte oder Berufsschule Familienheimfahrten Arbeitskleidung Kinderbetreuungskosten    Förderungsfähige Berufsausbildung:  Es ist Ihre erste Berufsausbildung oder wenn es nicht Ihre erste Berufsausbildung ist: Sie können nicht auf eine andere Weise dauerhaft beruflich eingegliedert werden. Sie machen eine Berufsausbildung.  die nach dem Berufsbildungsgesetz, der Handwerksordnung oder dem Seearbeitsgesetz anerkannt ist oder eine Berufsausbildung nach Teil 2 des Pflegeberufegesetzes.   Sie schließen einen Berufsausbildungsvertrag ab.  Wenn Sie eine Behinderung haben, können Sie Berufsausbildungsbeihilfe auch bekommen, wenn  Sie eine Berufsausbildung machen, die abweichend von den Ausbildungsordnungen für staatlich anerkannte Ausbildungsberufe oder in Sonderformen für behinderte Menschen durchgeführt wird, Sie Ihre Ausbildung verlängern müssen, Sie die Ausbildung aufgrund Ihrer Behinderung ganz oder teilweise wiederholen und eine dauerhafte Teilhabe am Arbeitsleben sonst nicht möglich wäre oder Sie im Haushalt der Eltern oder eines Elternteils wohnen.  Zusätzliche Voraussetzung bei berufsvorbereitenden Bildungsmaßnahmen:  Die berufsvorbereitende Bildungsmaßnahme wird im Auftrag der Agentur für Arbeit durchgeführt  Eine Ausbildung oder berufsvorbereitende Bildungsmaßnahme im Ausland ist wie folgt förderfähig:  bei teilweiser Ausbildung im Ausland, wenn  der Teil der Ausbildung im Ausland nicht länger als 1 Jahr dauert und der Teil der Ausbildung im Ausland im Hinblick auf die Gesamtdauer der Ausbildung als angemessen erscheint   bei vollständiger Ausbildung im Ausland,  wenn die Ausbildung im Ausland dem Berufsziel des Antragstellers besonders dienlich ist und amtlich bestätigt wird, dass die Ausbildung im Ausland einer betrieblichen Ausbildung in Deutschland gleichgestellt ist   bei teilweise im Ausland stattfindender berufsvorbereitender Bildungsmaßname, wenn  der Teil im Ausland die Hälfte der vorgesehenen Förderdauer nicht übersteigt und der Teil im Ausland im Hinblick auf die Gesamtdauer der Maßnahme als angemessen erscheint.",§§ 56 bis 72 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/index.html#BJNR059500997BJNE019509126
Eingliederungszuschuss beim Jobcenter beantragen,"Wenn Sie in Ihrem Unternehmen Menschen einstellen, die zu Beginn der Beschäftigung noch nicht die volle Arbeitsleistung erbringen, können Sie Zuschüsse zu den Lohnkosten beantragen.",B100019.LB.102730318,000000000000,"Sie wollen eine schwer in den Arbeitsmarkt zu vermittelnde Person beschäftigen. Bei der Arbeitnehmerin oder dem Arbeitnehmer ist anfänglich eine geringere Leistung als üblich zu erwarten. Der finanzielle Ausgleich durch den Eingliederungszuschuss ist notwendig, um die Arbeitnehmerin oder den Arbeitnehmer dauerhaft beruflich einzugliedern.",§ 16 Absatz 2 Nummer 5 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16.html || §§ 88 bis 92 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__88.html
Arbeitslosengeld II beantragen,"Wenn Sie nicht genügend Geld zur Verfügung haben, um Ihren notwendigen Lebensunterhalt selbst zu finanzieren, dann können Sie Arbeitslosengeld II beantragen.",B100019.LB.581734,000000000000,"Sie sind erwerbsfähig. Das heißt, dass Sie  mindestens 3 Stunden täglich arbeiten können und mindestens 15 Jahre alt sind und die Altersgrenze der gesetzlichen Rentenversicherung noch nicht erreicht haben. Wenn Sie nach 1963 geboren sind, liegt diese bei 67 Jahren. Sind Sie vor 1964 geboren, können Sie die für Sie geltende Altersgrenze in der Tabelle in § 7a SGB II nachschauen.   Sie sind hilfebedürftig. Das heißt, dass Sie Ihren Lebensunterhalt und den Unterhalt Ihrer Bedarfsgemeinschaft nicht aus eigenen Mitteln und Kräften der Bedarfsgemeinschaft vollständig alleine decken können. Sie haben keine vorrangigen Ansprüche gegenüber anderen Leistungsträgern oder anderen Personen, wie beispielsweise gegen geschiedene Ehepartner oder den Vater oder die Mutter Ihres Kindes. Sie leben in der Bundesrepublik Deutschland.",Zweites Buch Sozialgesetzbuch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/BJNR295500003.html#BJNR295500003BJNG000502308
Insolvenzgeld beantragen,"Ist Ihr Arbeitgeber zahlungsunfähig und kann Ihren Lohn nicht mehr bezahlen, können Sie Insolvenzgeld beantragen.",B100019.LB.576848,000000000000,"Damit Sie Insolvenzgeld bekommen können, müssen bestimmte Voraussetzungen erfüllt sein:   Es liegt ein Insolvenzereignis vor, wenn   Eröffnung eines Insolvenzverfahrens über das Vermögen Ihres Arbeitgebers oder Insolvenzantrag wird mangels Masse abgewiesen oder Betriebstätigkeit wird bei offensichtlicher Masselosigkeit vollständig eingestellt.   Vor dem Insolvenzereignis wurde Ihnen bis zu 3 Monate lang kein Arbeitsentgelt gezahlt. Als Arbeitnehmerin oder Arbeitnehmer sind Sie  innerhalb Deutschlands beschäftigt oder vorübergehend ins Ausland unter Beibehaltung der Sozialversicherungspflicht in Deutschland entsandt worden.    Sie müssen durch Bescheid der Clearingstelle der Deutschen Rentenversicherung (Statusfeststellungsverfahren) nachweisen, dass Sie rechtlich als Arbeitnehmerin oder Arbeitnehmer gelten, wenn Sie beispielsweise  geschäftsführender Gesellschafter,  Gesellschafterin oder Gesellschafter einer GmbH oder Angehörige beziehungsweise Angehöriger des Arbeitgebers sind.    Weitere Informationen finden Sie auf der Internetseite der Bundesagentur für Arbeit.",§§ 165 bis 172 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__165.html || § 175 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__175.html || § 314 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__314.html || § 316 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__316.html || §§ 323 bis 324 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__323.html || § 327 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__327.html
Einmalige Leistungen beantragen,"Umzug, Schwangerschaft, Geburt: Wenn Ihnen für bestimmte Situationen in Ihrem Leben das Geld fehlt, können Sie einmalige Leistungen beantragen.",B100019.LB.102713899,000000000000,"Wenn Sie erwerbsfähig sind und Ihren Lebensunterhalt momentan und auch in den nächsten 6 Monaten wahrscheinlich nicht finanziell decken können, können Sie Bürgergeld für einmalige Leistungen als Geldleistung oder Sachleistung (Gutschein) beantragen. Die einmalige Leistung muss zudem notwendig sein. Die Leistung ist dann ausschließlich für das Beantragte zu verwenden, also für  die Erstausstattung der Wohnung, die Erstausstattung für Bekleidung und Erstausstattung bei Schwangerschaft und Geburt, die Anschaffung und Reparaturen von orthopädischen Schuhen, die Reparaturen von therapeutischen Geräten und Ausrüstungen sowie die Miete von therapeutischen Geräten.",§ 24 Absatz 3 Satz 1 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__24.html
Kinderverletztengeld von der gesetzlichen Unfallversicherung erhalten,Ihr Kind hatte im Kindergarten oder in der Schule einen Unfall und muss deshalb von Ihnen zu Hause betreut werden? Dann können Sie unter bestimmten Voraussetzungen Kinderverletztengeld bekommen.,B100019.LB.102799515,000000000000,"Sie haben Anspruch auf Kinderverletztengeld, wenn:  Sie ein Kind Ihres Haushaltes wegen der Folgen eines Versicherungsfalls (Schul und Kindergartenunfall) beaufsichtigen, betreuen oder pflegen müssen, Ihr Kind das 12. Lebensjahr noch nicht vollendet hat, Sie vor der Beaufsichtigung, Betreuung oder Pflege Ihres Kindes einen Anspruch auf Arbeitsentgelt oder eine andere Geldleistung (zum Beispiel Krankengeld, Arbeitslosengeld) hatten und keine andere in Ihrem Haushalt lebende Person Ihr Kind betreuen kann.",§ 45 Absatz 4 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__45.html || § 45 Sozialgesetzbuch Fünftes Buch (SGB V)<>https://www.gesetze-im-internet.de/sgb_5/__45.html
