Name,ID-LB,ARS,Eligibility Requirements,Legal Basis
Bildungs- und Teilhabepaket (BuT)/ SGB XII (Grundsicherung/Hilfe zum Lebensunterhalt),L100002.LB.28151f0d4b69487ebaa76a9c250e70f6,050000000000,"Grundvoraussetzungen:    Für Kinder, Jugendliche und junge Erwachsene die Leistungen nach dem SGB II, dem SGB XII oder dem AsylbLG beziehen, besteht ein Anspruch auf Bildungsleistungen nach dem Bildungs und Teilhabepaket. Hierfür müssen die Kinder, Jugendliche und junge Erwachsene   eine allgemein oder berufsbildende Schule, eine Tageseinrichtung oder Kindertagespflege besuchen und   noch nicht das 25. Lebensjahr vollendet haben.    Ausnahme: Für Personen die Leistungen nach dem SGB XII und dem AsylbLG beziehen, ist eine Berücksichtigung ihrer Bedarfe an Bildungsleistungen auch über die Vollendung des 25. Lebensjahres hinaus möglich. Für diese Leistungsberechtigten gilt keine Altersgrenze.     Für Kinder, Jugendliche und junge Erwachsene die Leistungen   nach dem SGB II, dem Dritten Kapitel des SGB XII oder dem AsylbLG beziehen, besteht ein   Anspruch auf Teilhabeleistungen am sozialen und kulturellen Leben   nach dem Bildungs und Teilhabepaket, wenn sie noch nicht 19 Jahre alt sind  .  Für Jugendliche und junge Erwachsene, die Leistungen nach dem SGB II oder dem AsylbLG beziehen, besteht ein Anspruch auf Bildungs und Teilhabeleistungen nach dem Bildungs- und Teilhabepaket, wenn im Rahmen der beruflichen Ausbildung keine ausreichende Ausbildungsvergütung zur Verfügung steht.    Achtung: Dies gilt nicht für Personen, die Leistungen der Sozialhilfe nach dem SGB XII erhalten. Ausgenommen sind Personen die Grundsicherung im Alter und bei Erwerbsminderung oder Hilfe zum Lebensunterhalt beziehen.   Ausflüge sowie ein- und mehrtägige Fahrten von Schulen und KiTas:  Mehrtägige Klassenfahrten müssen im Rahmen der schulrechtlichen Bestimmungen liegen.  Persönlicher Schulbedarf:  Die Auszahlung erfolgt automatisiert im Rahmen dieser Leistungen und Sie müssen hierfür keinen separaten Antrag stellen.  Wenn Sie Wohngeld oder Kinderzuschlag beziehen, muss die Schulbedarfspauschale erstmalig beantragt werden.  Bei Kindern unter 7 Jahren oder über 15 Jahren ist eine Schulbescheinigung erforderlich.  Schülerbeförderung:  Die tatsächlichen Aufwendungen werden nicht von Dritten (z. B. durch den Schulträger) übernommen. Wird nur ein Teil der Fahrtkosten durch Dritte übernommen, kann der Eigenteil erstattet werden. Die Distanz zwischen dem Wohnort und der Schule/Einrichtung ist höher als die kommunal oder auf Landesebene als maßgeblich geregelte Mindestdistanz. Wenn landesrechtliche Vorgaben (nächstgelegene Schule des gewählten Bildungsganges) für die Mindestdistanz teilweise keine Rolle spielen (geregelt in bspw. § 28 Absatz 4 Satz 2 SGB II), kann als „nächstgelegene Schule des gewählten Bildungsgangs"" auch eine Schule mit besonderem Profil gelten (zum Beispiel eine Schule mit sportlichem oder sprachlichem Profil oder eine Waldorfschule).  Lernförderung:   Sie brauchen eine Beurteilung der Schule, ob eine Lernförderung zusätzlich erforderlich und geeignet ist, um die nach den schulrechtlichen Bestimmungen festgelegten wesentlichen Lernziele zu erreichen. Wenn es schulische Angebote gibt, sind diese vorrangig wahrzunehmen. Ob die Versetzung gefährdet ist, ist egal.  Die Lernförderung wird durch einen geeigneten Träger oder eine geeignete private Person angeboten. Für die Lernförderung muss ein gesonderter Antrag gestellt werden. Seit dem 1. Juli 2021 sind die individuellen Hilfen zur Lernförderung während der Pandemiezeit und im unmittelbaren Anschluss daran als Teil des am 5. Mai 2021 beschlossenen Aktionsprogramm ""Aktionsprogramm Aufholen nach Corona"" für Kinder und Jugendliche leichter zu erhalten. Es entfällt der gesonderte Antrag auf Übernahme der Aufwendungen für die Lernförderung bis zum 31. Dezember 2023.  Mittagsverpflegung:  Besuch einer Schule, einer Kita oder einer Kindertagespflegeeinrichtung oder eines Hortes.  Die Mittagsverpflegung wird in schulischer Verantwortung angeboten oder ist durch einen Kooperationsvertrag zwischen der Schule und der Tageseinrichtung vereinbart. Das Essen wird gemeinschaftlich ausgegeben und eingenommen.","§§ 28, 29, 30 SGB II"
Bildungspaket - Kostenerstattung für Ausflüge mit Schulen und Kitas (Bezieher von Bürgergeld),S100002.LB.S1000020010000011737,020000000000,"Sie können die Leistungen erhalten für: 
 

Kinder, die eine Kita besuchen oder von einer Tagespflegeperson betreut werden,
Schülerinnen und Schüler, die eine allgemein- oder berufsbildende Schule oder eine Vorschulklasse besuchen,

wenn Sie Bürgergeld oder Sozialgeld (SGB II) erhalten.",§ 28 Abs. 2 Sozialgesetzbuch (SGB) II
Hilfe zum Lebensunterhalt beantragen,L100108.LB.L100108.121829,110000000000,"Sie haben keinen Anspruch auf vorrangige LeistungenZu diesen Ansprüchen gehören zum Beispiel:
•	Leistungen der Grundsicherung im Alter und bei Erwerbsminderung (4. Kapitel Sozialgesetzbuch Zwölftes Buch (SGB XII)
•	Leistungen der Grundsicherung (Sozialgeld) nach dem Sozialgesetzbuch Zweites Buch (SGB II)
•	Leistungen nach dem Asylbewerberleistungsgesetz (AsylbLG)Altersgrenze und ErwerbsminderungBezug einer vorgezogenen Altersrenteoder
das Rentenalter (Das Rentenalter beginnt zwischen 65 und 67 Jahren, je nach Geburtsjahrgang) wurde noch nicht erreicht undbefristete volle Erwerbsminderung (Feststellung durch Rententräger) liegt vorNiedriges Einkommen, niedriges VermögenEinkommen und Vermögen reichen nicht aus, um den Lebensunterhalt zu bestreiten.",Sozialgesetzbuch Zwölftes Buch (SGB XII) §§ 27-40<>https://www.gesetze-im-internet.de/sgb_12/|Ausführungsvorschriften über den Einsatz von Vermögen nach dem SGB XII (AV-VSH)<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/kategorie/ausfuehrungsvorschriften/av_vsh-571931.php
Entschädigung nach dem Infektionsschutzgesetz für nicht gedeckte Betriebskosten beantragen,S100003.LB.S1000030001722526,040110000000,"Bei Quarantäne oder Tätigkeitsverbot haben Sie Anspruch auf Entschädigung der weiterlaufenden nicht gedeckten Betriebsausgaben, wenn

Sie selbstständig sind
Ihr Betrieb oder Ihre Praxis während des Tätigkeitsverbots oder der Quarantäne ruht
Sie Anspruch auf Entschädigung Ihres Verdienstausfalls haben und
diese Maßnahme bei Ihnen zu einer Existenzgefährdung geführt hat.",§ 56 Absatz 4 Satz 2 Gesetz zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen (Infektionsschutzgesetz - IfSG)<>https%3A%2F%2Fwww.gesetze-im-internet.de%2Fifsg%2F__56.html
Schulden; Beratung,L100042.LB.26341,090000000000,"Beraten werden kann jeder private Haushalt, der hilfebedürftig ist oder dem der soziale Abstieg droht.
Grundlegende Voraussetzung effektiver Schuldnerberatung ist eine aktive und langfristige Zusammenarbeit zwischen dem oder der Hilfesuchenden und der Beraterin oder dem Berater.
Ratsuchende müssen bereit sein,
alle Schulden und alle Einnahmemöglichkeiten offenzulegen,den Empfehlungen des Schuldnerberaters Folge zu leisten sowie Absprachen einzuhalten undnotfalls ihre Haushaltsführung zu ändern.
Sofern sie gewillt sind, diese Einschränkungen auf sich zu nehmen, ist eine erfolgversprechende Schuldnerberatung möglich.",§ 16a Sozialgesetzbuch II<>http://www.gesetze-im-internet.de/sgb_2/__16a.html|§ 11 Sozialgesetzbuch XII (SGB XII)<>http://www.gesetze-im-internet.de/sgb_12/__11.html
Sozialhilfe; Beantragung von Hilfe zum Lebensunterhalt,L100042.LB.26801,090000000000,"Sie sind hilfebedürftig und nicht erwerbsfähig, weil sie zeitlich befristet voll erwerbsgemindert sind:
	Hilfebedürftig sind Sie, wenn Sie Ihren Lebensunterhalt nicht aus eigenen Mitteln und Kräften vollständig decken können.Zeitlich befristet voll erwerbsgemindert sind Sie, wenn Sie auf absehbare Zeit (mehr als 6 Monate) nicht in der Lage sind, unter den üblichen Bedingungen des allgemeinen Arbeitsmarktes regelmäßig mindestens 3 Stunden täglich zu arbeiten.
Sie erhalten kein/keine:
	Bürgergeld (bis 31.12.2022: Grundsicherung für Arbeitsuchende „Hartz IV“),Grundsicherung im Alter und bei Erwerbsminderung oderGrundleistungen für Asylsuchende.",§§ 27 - 40 Sozialgesetzbuch XII (SGB XII)<>http://bundesrecht.juris.de/sgb_12/BJNR302300003.html#BJNR302300003BJNG000500000
Übernahme der Bestattungskosten beantragen,L100012.LB.223509425,010000000000,"Sie sind dazu verpflichtet, die Bestattungskosten zu tragen.
Weder der Nachlass der verstorbenen Person noch andere durch das Ableben zugeflossene Mittel, wie die Auszahlungen aus Versicherungen, decken die Bestattungskosten.
Sie können die Kosten nicht oder nicht vollständig aus eigenen Mitteln tragen oder die Übernahme der Bestattungskosten ist ihnen nicht oder nicht in voller Höhe zuzumuten.
Die Kosten für die Bestattung sind angemessen.",§ 74 Zwölftes Buch Sozialgesetzbuch (SGB XII)<>https://dejure.org/gesetze/SGB_XII/74.html|Bestattungsgesetz (BestattG)<>https://www.gesetze-rechtsprechung.sh.juris.de/bssh/document/jlr-BestattGSH2005V1IVZ
Frauenhäuser; Inanspruchnahme,L100042.LB.26452,090000000000,"Im Frauenhaus können Frauen und ihre Kinder aufgenommen werden, welche von häuslicher und/oder sexualisierter Gewalt im sozialen Nahraum betroffen oder bedroht sind.",nicht angegeben
Saison-Kurzarbeitergeld beantragen,B100019.LB.100372563,000000000000,"Das Saison-Kurzarbeitergeld kann beantragt werden bei vorübergehendem und nicht vermeidbarem Arbeitsausfall  aus wirtschaftlichen Gründen oder aus witterungsbedingten Gründen oder in Folge eines unabwendbaren Ereignisses.  Betriebliche Voraussetzungen:  Ihr Betrieb gehört dem Baugewerbe, Gerüstbauerhandwerk, Dachdeckerhandwerk oder dem Garten- und Landschaftsbau an. Ihr Betrieb oder die Betriebsabteilung beschäftigt mindestens 1 Arbeitnehmerin oder Arbeitnehmer.  Persönliche Voraussetzungen:  Sie haben sozialversicherungspflichtig Beschäftigte, die nicht gekündigt sind und mit denen auch kein Aufhebungsvertrag geschlossen wurde",§ 101 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__101.html
Pass für Geringverdiener - Karlsruher Kinderpass beantragen,L100022.LB.6002453,080000000000,"Sie müssen Ihren Wohnsitz in der Stadt Karlsruhe bzw. in der SozialRegion haben.
Außerdem:

Bezug von Leistungen nach SGB II,
Grundsicherung nach SGB XII,
Wohngeld,
Kinderzuschlag oder
Leistungen nach dem AsylbLG oder
geringes Einkommen, das mit geeigneten Unterlagen nachgewiesen wird.

Den Karlsruher Kinderpass können außerdem:

Kinder mit Schwerbehindertenausweis und
Pflegekinder bekommen.",Der Karlsruher Kinderpass ist eine freiwillige Leistung der Stadt Karlsruhe.
Seniorenbetreuung - Altenhilfe,S100003.LB.S1000030000642747,040120000000,"Ob ein Leistungsanspruch für die Gewährung von Altenhilfe über Geldleistungen besteht, wird individuell geprüft und hängt von Ihrem Einkommen oder Vermögen ab. Die Beratungsleistungen hierzu sind kostenfrei.
Bei Beantragung von Geldleistungen ist die Einreichung eines vollständig ausgefüllten Antrages erforderlich (es muss der Antrag des Sozialamtes Bremerhaven verwendet werden!). Für eine zügige Antragsbearbeitung werden folgende Unterlagen benötigt:

Personalausweis/Reisepass/Stammbuch/Schwerbehindertenausweis
Mietvertrag/Untermietvertrag
letzte Mietneben- und Heizkostenabrechnung (Aufschlüsselung der Gesamtmiete)
letzter Wohngeldbescheid
aktuelle Rentenbescheid(e)
Nachweis über alle anderen Einkünfte (z.B. Unterhalt)
ärztliches Attest
Unterlagen über die (freiwillige) Kranken- und Pflegeversicherung
Kontoauszüge der letzten 3 Monate
Nachweis über Haus- und Grundbesitz der letzten 10 Jahre, ggfs. Notarieller Übertragungs- bzw. Kaufvertrag
Nachweise über Vermögen (z.B. Lebensversicherungen, Bestattungsvorsorgeversicherungen, Sparverträge, Sparbücher usw.)
Unterlagen über Hausrat- und Haftpflichtversicherung
Personalien unterhaltspflichtiger Angehöriger (Ehepartner, Kinder)
Scheidungsurteil, Nachweis über Unterhaltsregelungen
Vollmacht, Betreuerausweis (bei Antragstellung durch Dritte)
Heimvertrag",nicht angegeben
"Grundsicherung bei Heimunterbringung von Hilfsbedürftigen beantragen, die die Regelaltersgrenze (65 Jahre und älter) noch nicht erreicht haben",L100009.LB.6001138,140000000000,"Ein Anspruch besteht, wenn der Betroffene*

seinen gewöhnlichen Aufenthalt in der Bundesrepublik Deutschland hat und


nach Vollendung des 18. Lebensjahres aus gesundheitlichen Gründen oder aufgrund einer Behinderung auf absehbare Zeit nicht in der Lage ist, wenigstens drei Stunden täglich einer Erwerbstätigkeit nachzugehen und
die Altersgrenze (je nach Einzelfall 65 Jahre und älter) noch nicht erreicht hat (sonst Zuständigkeit des Sozialamtes)

Bedürftigkeit
Die Betroffenen müssen bedürftig sein, das heißt ihr Einkommen und Vermögen (beziehungsweise das ihres Ehegatten/Lebensgefährten) reicht nicht aus, um den notwendigen Lebensunterhalt sicherzustellen.
Haben die Hilfebedürftigen unterhaltspflichtige Eltern oder Kinder, werden diese nur herangezogen, wenn ihr jährliches Einkommen EUR 100.000 übersteigt.
*) Um verständlich zu bleiben, beschränken wir uns auf die verallgemeinernden Personenbezeichnungen, sie beziehen sich immer auf jedes Geschlecht – die Redaktion",Sozialgesetzbuch Zwölftes Buch<>https://amt24.sachsen.de/fehler-link-nicht-gefunden
Berechtigungsnachweis Berlin-Ticket S beantragen,L100108.LB.L100108.121742,110000000000,"Hauptwohnsitz in Berlin oder Sie haben keinen festen WohnsitzDen Berechtigungsnachweis erhält auch, wer keinen festen Wohnsitz hat und Leistungen vom Land Berlin bezieht.Bezug von TransferleistungenIhnen wird der Berechtigungsnachweis automatisch zugeschickt, wenn Sie eine der folgenden Leistungen bekommen. Ein Antrag ist nicht nötig.
1) Arbeitslosengeld II bzw. Sozialgeld (Hartz IV, Bürgergeld)
2) Sozialhilfe
3) Grundsicherung im Alter
4) Grundsicherung bei voller Erwerbsminderung
5) Leistungen nach dem Asylbewerberleistungsgesetz
6) Wohngeld
7) Leistungen nach dem SED-Unrechtsbereinigungsgesetzen:
Opferrente nach § 17a Strafrechtliches Rehabilitierungsgesetz (StrRehaG)Ausgleichsleistungen nach § 8 Berufliches Rehabilitierungsgesetz (BRehaG)Ausgleichsrente für Schwerbeschädigte oder Berufsschadensausgleich nach § 21 StrRehaG, § 4 Häftlingshilfegesetz (HHG) und § 3 Verwaltungsrechtliches Rehabilitierungsgesetz (VwRehaG) in Verbindung mit § 144 SGB XIVBerufsschadensausgleich nach § 21 StrRehaG, § 4 Häftlingshilfegesetz (HHG) und § 3 Verwaltungsrechtliches Rehabilitierungsgesetz (VwRehaG) in Verbindung mit § 89 SGB XIV
NS-Ausgleichsrente nach § 13 Gesetz über die Anerkennung und Versorgung der politisch, rassisch oder religiös Verfolgten des Nationalsozialismus (PrVG)Darüber hinaus können bei den Leistungen 1 bis 5 auch die Mitglieder der Bedarfsgemeinschaft der leistungsberechtigten Person (Familienangehörige) den Berechtigungsnachweis erhalten sowie die Haushaltsmitglieder eines Wohngeldempfängers, sofern sie bei der Berechnung des Anspruchs auf Wohngeld berücksichtigt wurden.
Dies gilt auch für Mitglieder der Bedarfsgemeinschaft, die wegen ihres Einkommens selbst keinen eigenen Leistungsanspruch haben, aber mit ihrem übersteigenden Einkommen den Bedarf der anderen Mitglieder decken.Wenn Sie zu einem bestimmten Personenkreis gehören: zusätzlich Antrag notwendigWenn Sie zum folgenden Personenkreis gehören, wird Ihnen der Berechtigungsnachweis nicht automatisch zugeschickt. Sie müssen den Berechtigungsnachweis beantragen.
Personen im Berliner Justizvollzug, die an Maßnahmen außerhalb des Vollzuges teilnehmenPersonen, die in Berlin leben (z.B. in einer besonderen Wohnform, einem Heim) und in einem anderen Bundesland Sozialhilfeleistungen beziehenPersonen ohne festen Wohnsitz, die Leistungen vom Land Berlin beziehenPersonen, die in Berlin ihren Wohnsitz haben und in einem anderen Bundesland Opferrenten oder Ausgleichsleistungen nach den SED-Unrechtsbereinigungsgesetzen beziehenPersonen aus der Bedarfsgemeinschaft, die wegen ihres Einkommens selbst keinen eigenen Leistungsanspruch haben, aber mit ihrem übersteigenden Einkommen den Bedarf der anderen Mitglieder decken.Personen, die Leistungen nach dem Sozialgesetzbuch (SGB) VIII oder andere nicht hier aufgeführte Leistungen beziehen, haben keinen Anspruch auf den Berechtigungsnachweis.Wenn Sie Leistungen vom Jobcenter beziehen und es Probleme gibt: Bitte um (Neu-)Ausstellung des BerechtigungsnachweisesAuch wenn Sie Leistungen vom Jobcenter erhalten, bekommen Sie den Berechtigungsnachweis nach jeder Neu- oder Weiterbewilligung Ihrer Leistungen erneut ausgestellt. Diese Ausstellung erfolgt nicht durch die Jobcenter selbst, sondern diese werden zeitlich verzögert immer in regelmäßigen Abständen zentral ausgestellt und versandt.
Wenden Sie sich bitte an Ihr Jobcenter und bitten um (Neu-)Ausstellung des Berechtigungsnachweises, wenn:
Sie trotz verstrichenem Drucktermin den Berechtigungsnachweis nicht erhalten haben,der nächste Drucktermin noch über 14 Tage dauert,Sie einen fehlerhaften Berechtigungsnachweis erhalten haben,der QR-Codes Ihres Berechtigungsnachweises wegen einer fehlerhaften Antragsstellung verbraucht ist,Sie den Berechtigungsnachweis oder die VBB-Kundenkarte Berlin S verloren haben,Sie den Berechtigungsnachweis nicht erhalten haben, aber Ihr übersteigendes Einkommen auf die anderen Mitglieder der Bedarfsgemeinschaft angerechnet wird und Ihr Leistungsanspruch deshalb 0 Euro beträgt",keine
Entschädigung bei Verdienstausfall beantragen,L100040.LB.492840665,030000000000,"Die Voraussetzungen der jeweiligen Regelung (Quarantäne/Tätigkeitsverbot oder nötige Betreuung) sind erfüllt.
Es gab keine Möglichkeit, den Verdienstausfall durch eine andere zumutbare Tätigkeit auszugleichen oder eine alternative, zumutbare Betreuung des Kindes zu gewährleisten.
Der Antrag auf Entschädigung muss innerhalb von 2 Jahren gestellt werden.
Es bestand keine Erkrankung bzw. Arbeitsunfähigkeit.
Der Verdienstausfall wurde durch keine anderweitige staatliche Maßnahme kompensiert.",§§ 56ff. des Gesetzes zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen (Infektionsschutzgesetz - IfSG) - Entschädigung<>https://www.gesetze-im-internet.de/ifsg/__56.html|Lohnabzugstabellen zur Ermittlung des Nettoentgeltes entsprechend § 56 IfSG und Rahmeninformationen können über die FAQs des Bundesministeriums für Gesundheit gefunden werden.<>https://www.bundesgesundheitsministerium.de/service/begriffe-von-a-z/e/entschaedigungsansprueche-nach-56-ifsg.html
Bildungspaket - Ansparen für Freizeiten,S100002.LB.S1000020010000006528,020000000000,"Leistungsberechtigt sind Kinder unter 18 Jahren, die (oder deren Eltern) Leistungen nach dem SGB II, dem SGB XII, der §§ 2 oder 3 AsylbLG oder Wohngeld oder Kinderzuschlag erhalten.",§ 28 SGB II
Leistungen nach dem Bildungs- und Teilhabepaket beantragen,L100108.LB.L100108.324466,110000000000,"Berechtigt sind Kinder, Jugendliche und junge Erwachsene bis zum 25. GeburtstagAusnahme: Bei Leistungen zum Mitmachen in Kultur, Sport und Freizeit sind Kinder und Jugendliche nur bis zum 18. Geburtstag berechtigt.Bei Bezug von Sozialhilfe oder Leistungen nach dem Asylbewerberleistungsgesetz gilt keine Altersbeschränkung.Auszubildende, die eine Ausbildungsvergütung erhalten, bekommen keine Leistungen aus dem Bildungspaket.Sie beziehen Leistungen zur Sicherung des LebensunterhaltsBezug von SozialhilfeBezug von Leistungen nach dem AsylbewerberleistungsgesetzBezug von BürgergeldBezug von WohngeldBezug von Kinderzuschlagoder vergleichbar geringem EinkommenSie haben einen berlinpass-BuT mit oder ohne PassbildDer berlinpass-BuT dient als Nachweis gegenüber der Schule oder Kita dafür, dass Ihr Kind Anspruch auf Leistungen aus dem Bildungspaket hat. Sie bekommen den berlinpass-BuT bei Ihrer Leistungsstelle.","Sozialgesetzbuch Zwölftes Buch (SGB XII) §§ 34, 34a - Empfänger/innen von Sozialhilfe<>https://www.gesetze-im-internet.de/sgb_12/BJNR302300003.html#BJNR302300003BJNG003600308|Asylbewerberleistungsgesetz (AsylbLG)<>https://www.gesetze-im-internet.de/asylblg/index.html#BJNR107410993BJNE000205310|Sozialgesetzbuch Zweites Buch (SGB II) §§ 28, 29 - Empfänger/innen von Arbeitslosengeld II und Sozialgeld<>https://www.gesetze-im-internet.de/sgb_2/BJNR295500003.html#BJNR295500003BJNG000902308|Wohngeldgesetz (WoGG)<>https://www.gesetze-im-internet.de/wogg/|Bundeskindergeldgesetz (BKGG) § 6b<>https://www.gesetze-im-internet.de/bkgg_1996/__6b.html|Ausführungsvorschriften über die Gewährung der Leistungen für Bildung und Teilhabe (AV-BuT)<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/kategorie/ausfuehrungsvorschriften/av_but-604137.php|Berliner Sozialrecht<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/"
Sozialhilfe Hilfe in sonstigen Lebenslagen Bewilligung,S100002.LB.S1000020010000012302,020000000000,"Ausschluss vorrangiger Leistungen
Nachgewiesener Bedarf",https://www.gesetze-im-internet.de/sgb_12/__73.html<>https://www.gesetze-im-internet.de/sgb_12/__73.html
Sozialrabatt,S100002.LB.S1000020010000003422,020000000000,"Den Sozialrabatt können nur Personen erhalten, wenn sie existenzsichernde Leistungen eines Hamburger Leistungsträgers beziehen (auch aufstockend). Dazu gehören folgende Leistungsarten:
SGB II (Bürgergeld) - Jobcenter team.arbeit.hamburg
SGB XII (Hilfen zum Lebensunterhalt) - Bezirksämter/ Fachämter Grundsicherung
Asylbewerberleistungsgesetz (AsylbLG) -  Bezirksämter/ Fachämter Grundsicherung /Amt für Migration
Das gilt auch für die Haushaltsmitglieder. Der Wohnsitz muss in Hamburg sein.
Kein Rabatt für Wohngeldempfänger (da dies keine existenzsichernde Leistung ist, sondern ein Zuschuss zu den Wohnkosten).",nicht angegeben
Bildungspaket - Kostenerstattung für Schulbedarf für Schüler (Bezieher von Bürgergeld unter 25),S100002.LB.S1000020010000006195,020000000000,"Kinder unter 25 Jahren (oder deren Eltern), die Leistungen nach dem SGB II (Bürgergeld / Sozialgeld) erhalten
Besuch einer allgemein- oder berufsbildenden Schule, auch Vorschule
kein Erhalt einer Ausbilungsvergütung",nicht angegeben
Hilfen für Familien in Not,L100009.LB.6000119,140000000000,"Familien oder Alleinerziehende mit mindestens einem Kind oder mit behinderten oder pflegebedürftigen Angehörigen sowie Schwangere
ständiger Wohnsitz im Freistaat Sachsen
Bedürftigkeit (zum Beispiel wirtschaftliche Notlage)
Alle zustehenden gesetzlichen Leistungen wurden vorrangig in Anspruch genommen und es werden ergänzende Hilfen benötigt.",
Grundsicherung im Alter und bei dauerhafter Erwerbsminderung / Bremerhaven,S100003.LB.S1000030000567175,040120000000,"Erreichen der Altersgrenze (nach Geburtsjahren gestaffelt) oder älter
dauerhaft erwerbsgemindert
Einkommen unterhalb des maßgeblichen Grundsicherungsbedarfs
kein verwertbares Vermögen",§§ 41 bis 46 Sozialgesetzbuch Zwölftes Buch (SGB XII)<>http%3A%2F%2Fwww.gesetze-im-internet.de%2Fsgb_12%2F__41.html
"Bildungs- und Teilhabeleistungen für Kinder, Jugendliche und junge Erwachsene bei Bezug von Kinderzuschlag beantragen",L100002.LB.211ebbb5ab6ef01083b89e6249888dbc,050000000000,"Sie beziehungsweise die betroffenen Kinder, Jugendlichen oder jungen Erwachsenen:    erhalten den Kinderzuschlag besuchen eine allgemein- oder berufsbildende Schule, eine Tageseinrichtung oder Kindertagespflege   Altersobergrenze für Teilhabeleistungen zur Teilnahme an Kultur, Sport und Freizeit in der Gemeinschaft: 18 Jahre Altersobergrenze für Bildungsleistungen: 25 Jahre   Ausflüge:    Mehrtägige Ausflüge müssen im Rahmen der schulrechtlichen Bestimmungen liegen.     Persönlicher Schulbedarf    Je nach Alter des Kindes kann eine Schulbescheinigung erforderlich sein.     Schülerbeförderung    Die Kosten werden nicht komplett von Dritten beispielsweise dem Schulträger übernommen. Wird nur ein Teil der Fahrtkosten durch Dritte übernommen, kann nur der Eigenanteil erstattet werden. Die Entfernung zwischen Ihrem Wohnort und Ihrer Schule oder Einrichtung ist höher als die maßgeblich geregelte Mindestentfernung. Unter bestimmten Voraussetzungen kann die nächstgelegene Einrichtung auch eine besondere Ausrichtung haben, beispielsweise ein sportliches oder sprachliches Profil, oder es handelt sich um eine Waldorfschule.     außerschulische Lernförderung    Die Schule muss bestätigen, dass Sie die zusätzliche Lernförderung brauchen. Wenn es schulische Angebote gibt, müssen Sie diese vorrangig nutzen. Ob die Versetzung gefährdet ist, ist egal. Die Lernförderung wird durch einen geeigneten Träger oder eine geeignete private Person angeboten.     gemeinschaftliche Mittagsverpflegung    Sie, beziehungsweise Ihr Kind, besuchen eine Schule, eine Kita, eine Kindertagespflegeeinrichtung oder einen Hort. Die Mittagsverpflegung wird von der Einrichtung angeboten oder ist durch einen Kooperationsvertrag mit der Einrichtung (zum Beispiel zwischen Schule und Hort) vereinbart. Das Essen wird gemeinschaftlich ausgegeben und eingenommen.",§ 6b Bundeskindergeldgesetz (BKGG)<>https://www.gesetze-im-internet.de/bkgg_1996/__6b.html|§§ 28 bis 30 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/BJNR295500003.html#BJNR295500003BJNG000902308
Übernahme der Bestattungskosten,L100039.LB.198300025,070000000000,"Die nachfragende Person ist zur Tragung der Bestattungskosten verpflichtet.
Der zur Tragung der Bestattungskosten verpflichteten Person ist es finanziell nicht zuzumuten die Kosten aus eigenen Mitteln zu tragen.
Es werden nur die im Einzelfall erforderlichen Kosten der Bestattung übernommen.",§74 SGB XII<>https://dejure.org/gesetze/SGB_XII/74.html
Sozialhilfe; Beantragung der Übernahme von Bestattungskosten,L100042.LB.89171,090000000000,"Sie sind zur Tragung der Bestattungskosten verpflichtet.
	Rechtlich verpflichtet sind:
	vertraglich Verpflichtete z. B. aus Altenteil oder aus einem notariellen VertragErbenVäter nichtehelicher Kinder beim Tod der Mutter infolge Schwangerschaft oder Geburt, auch für die Kosten der Beerdigung des totgeborenen Kindes oder einer Fehlgeburtunterhaltsverpflichtete Ehegatte, Eltern und Kinder des Verstorbenenöffentlich-rechtlich verpflichtete Bestattungspflichtige, die in Erfüllung einer öffentlich-rechtlichen Bestattungspflicht nach dem Bestattungsgesetz einen Bestattungsauftrag erfüllt haben. In entsprechender Reihenfolge: Ehegatten, Kinder / Adoptivkinder, Eltern / Adoptiveltern, Großeltern, Enkelkinder, Geschwister, Neffen/ Nichten, Verschwägerte 1. Grades
Die verstorbene Person hat keinen ausreichenden Nachlass hinterlassen.Sie können die Kosten der Bestattung nicht aus eigenen Mitteln tragen.Die Kosten sind unter sozialhilferechtlichen Aspekten angemessen.Sie sind durch einen mit dem Bestattungsinstitut geschlossenen Werkvertrag oder einen von der zuständigen Ordnungsbehörde erlassenen Leistungsbescheid tatsächlich mit den Kosten belastet.",§ 74 Sozialgesetzbuch XII<>http://bundesrecht.juris.de/sgb_12/__74.html
