Name,ID-LB,ARS,Eligibility Requirements
Schulden; Beratung,L100042.LB.26341,['090000000000'],"Beraten werden kann jeder private Haushalt, der hilfebedürftig ist oder dem der soziale Abstieg droht.
Grundlegende Voraussetzung effektiver Schuldnerberatung ist eine aktive und langfristige Zusammenarbeit zwischen dem oder der Hilfesuchenden und der Beraterin oder dem Berater.
Ratsuchende müssen bereit sein,
alle Schulden und alle Einnahmemöglichkeiten offenzulegen,den Empfehlungen des Schuldnerberaters Folge zu leisten sowie Absprachen einzuhalten undnotfalls ihre Haushaltsführung zu ändern.
Sofern sie gewillt sind, diese Einschränkungen auf sich zu nehmen, ist eine erfolgversprechende Schuldnerberatung möglich."
Sozialhilfe; Beantragung von Hilfe zum Lebensunterhalt,L100042.LB.26801,['090000000000'],"Sie sind hilfebedürftig und nicht erwerbsfähig, weil sie zeitlich befristet voll erwerbsgemindert sind:
	Hilfebedürftig sind Sie, wenn Sie Ihren Lebensunterhalt nicht aus eigenen Mitteln und Kräften vollständig decken können.Zeitlich befristet voll erwerbsgemindert sind Sie, wenn Sie auf absehbare Zeit (mehr als 6 Monate) nicht in der Lage sind, unter den üblichen Bedingungen des allgemeinen Arbeitsmarktes regelmäßig mindestens 3 Stunden täglich zu arbeiten.
Sie erhalten kein/keine:
	Bürgergeld (bis 31.12.2022: Grundsicherung für Arbeitsuchende „Hartz IV“),Grundsicherung im Alter und bei Erwerbsminderung oderGrundleistungen für Asylsuchende."
Übernahme der Bestattungskosten beantragen,L100012.LB.223509425,['010000000000'],"Sie sind dazu verpflichtet, die Bestattungskosten zu tragen.
Weder der Nachlass der verstorbenen Person noch andere durch das Ableben zugeflossene Mittel, wie die Auszahlungen aus Versicherungen, decken die Bestattungskosten.
Sie können die Kosten nicht oder nicht vollständig aus eigenen Mitteln tragen oder die Übernahme der Bestattungskosten ist ihnen nicht oder nicht in voller Höhe zuzumuten.
Die Kosten für die Bestattung sind angemessen."
Frauenhäuser; Inanspruchnahme,L100042.LB.26452,['090000000000'],"Im Frauenhaus können Frauen und ihre Kinder aufgenommen werden, welche von häuslicher und/oder sexualisierter Gewalt im sozialen Nahraum betroffen oder bedroht sind."
Saison-Kurzarbeitergeld beantragen,B100019.LB.100372563,['000000000000'],"Das Saison-Kurzarbeitergeld kann beantragt werden bei vorübergehendem und nicht vermeidbarem Arbeitsausfall  aus wirtschaftlichen Gründen oder aus witterungsbedingten Gründen oder in Folge eines unabwendbaren Ereignisses.  Betriebliche Voraussetzungen:  Ihr Betrieb gehört dem Baugewerbe, Gerüstbauerhandwerk, Dachdeckerhandwerk oder dem Garten- und Landschaftsbau an. Ihr Betrieb oder die Betriebsabteilung beschäftigt mindestens 1 Arbeitnehmerin oder Arbeitnehmer.  Persönliche Voraussetzungen:  Sie haben sozialversicherungspflichtig Beschäftigte, die nicht gekündigt sind und mit denen auch kein Aufhebungsvertrag geschlossen wurde"
Pass für Geringverdiener - Karlsruher Kinderpass beantragen,L100022.LB.6002453,['080000000000'],"Sie müssen Ihren Wohnsitz in der Stadt Karlsruhe bzw. in der SozialRegion haben.
Außerdem:

Bezug von Leistungen nach SGB II,
Grundsicherung nach SGB XII,
Wohngeld,
Kinderzuschlag oder
Leistungen nach dem AsylbLG oder
geringes Einkommen, das mit geeigneten Unterlagen nachgewiesen wird.

Den Karlsruher Kinderpass können außerdem:

Kinder mit Schwerbehindertenausweis und
Pflegekinder bekommen."
Seniorenbetreuung - Altenhilfe,S100003.LB.S1000030000642747,['040120000000'],"Ob ein Leistungsanspruch für die Gewährung von Altenhilfe über Geldleistungen besteht, wird individuell geprüft und hängt von Ihrem Einkommen oder Vermögen ab. Die Beratungsleistungen hierzu sind kostenfrei.
Bei Beantragung von Geldleistungen ist die Einreichung eines vollständig ausgefüllten Antrages erforderlich (es muss der Antrag des Sozialamtes Bremerhaven verwendet werden!). Für eine zügige Antragsbearbeitung werden folgende Unterlagen benötigt:

Personalausweis/Reisepass/Stammbuch/Schwerbehindertenausweis
Mietvertrag/Untermietvertrag
letzte Mietneben- und Heizkostenabrechnung (Aufschlüsselung der Gesamtmiete)
letzter Wohngeldbescheid
aktuelle Rentenbescheid(e)
Nachweis über alle anderen Einkünfte (z.B. Unterhalt)
ärztliches Attest
Unterlagen über die (freiwillige) Kranken- und Pflegeversicherung
Kontoauszüge der letzten 3 Monate
Nachweis über Haus- und Grundbesitz der letzten 10 Jahre, ggfs. Notarieller Übertragungs- bzw. Kaufvertrag
Nachweise über Vermögen (z.B. Lebensversicherungen, Bestattungsvorsorgeversicherungen, Sparverträge, Sparbücher usw.)
Unterlagen über Hausrat- und Haftpflichtversicherung
Personalien unterhaltspflichtiger Angehöriger (Ehepartner, Kinder)
Scheidungsurteil, Nachweis über Unterhaltsregelungen
Vollmacht, Betreuerausweis (bei Antragstellung durch Dritte)
Heimvertrag"
"Grundsicherung bei Heimunterbringung von Hilfsbedürftigen beantragen, die die Regelaltersgrenze (65 Jahre und älter) noch nicht erreicht haben",L100009.LB.6001138,['140000000000'],"Ein Anspruch besteht, wenn der Betroffene*

seinen gewöhnlichen Aufenthalt in der Bundesrepublik Deutschland hat und


nach Vollendung des 18. Lebensjahres aus gesundheitlichen Gründen oder aufgrund einer Behinderung auf absehbare Zeit nicht in der Lage ist, wenigstens drei Stunden täglich einer Erwerbstätigkeit nachzugehen und
die Altersgrenze (je nach Einzelfall 65 Jahre und älter) noch nicht erreicht hat (sonst Zuständigkeit des Sozialamtes)

Bedürftigkeit
Die Betroffenen müssen bedürftig sein, das heißt ihr Einkommen und Vermögen (beziehungsweise das ihres Ehegatten/Lebensgefährten) reicht nicht aus, um den notwendigen Lebensunterhalt sicherzustellen.
Haben die Hilfebedürftigen unterhaltspflichtige Eltern oder Kinder, werden diese nur herangezogen, wenn ihr jährliches Einkommen EUR 100.000 übersteigt.
*) Um verständlich zu bleiben, beschränken wir uns auf die verallgemeinernden Personenbezeichnungen, sie beziehen sich immer auf jedes Geschlecht – die Redaktion"
Altenhilfe,L100002.LB.df1ef5452e40e6b930caaff28a83bd73,['050000000000'],nicht angegeben
Berechtigungsnachweis Berlin-Ticket S beantragen,L100108.LB.L100108_121742,['110000000000'],"Hauptwohnsitz in Berlin oder Sie haben keinen festen WohnsitzDen Berechtigungsnachweis erhält auch, wer keinen festen Wohnsitz hat und Leistungen vom Land Berlin bezieht.Bezug von TransferleistungenIhnen wird der Berechtigungsnachweis automatisch zugeschickt, wenn Sie eine der folgenden Leistungen bekommen. Ein Antrag ist nicht nötig.
1) Arbeitslosengeld II bzw. Sozialgeld (Hartz IV, Bürgergeld)
2) Sozialhilfe
3) Grundsicherung im Alter
4) Grundsicherung bei voller Erwerbsminderung
5) Leistungen nach dem Asylbewerberleistungsgesetz
6) Wohngeld
7) Leistungen nach dem SED-Unrechtsbereinigungsgesetzen:
Opferrente nach § 17a Strafrechtliches Rehabilitierungsgesetz (StrRehaG)Ausgleichsleistungen nach § 8 Berufliches Rehabilitierungsgesetz (BRehaG)Ausgleichsrente für Schwerbeschädigte oder Berufsschadensausgleich nach § 21 StrRehaG, § 4 Häftlingshilfegesetz (HHG) und § 3 Verwaltungsrechtliches Rehabilitierungsgesetz (VwRehaG) in Verbindung mit § 144 SGB XIVBerufsschadensausgleich nach § 21 StrRehaG, § 4 Häftlingshilfegesetz (HHG) und § 3 Verwaltungsrechtliches Rehabilitierungsgesetz (VwRehaG) in Verbindung mit § 89 SGB XIV
NS-Ausgleichsrente nach § 13 Gesetz über die Anerkennung und Versorgung der politisch, rassisch oder religiös Verfolgten des Nationalsozialismus (PrVG)Darüber hinaus können bei den Leistungen 1 bis 5 auch die Mitglieder der Bedarfsgemeinschaft der leistungsberechtigten Person (Familienangehörige) den Berechtigungsnachweis erhalten sowie die Haushaltsmitglieder eines Wohngeldempfängers, sofern sie bei der Berechnung des Anspruchs auf Wohngeld berücksichtigt wurden.
Dies gilt auch für Mitglieder der Bedarfsgemeinschaft, die wegen ihres Einkommens selbst keinen eigenen Leistungsanspruch haben, aber mit ihrem übersteigenden Einkommen den Bedarf der anderen Mitglieder decken.Wenn Sie zu einem bestimmten Personenkreis gehören: zusätzlich Antrag notwendigWenn Sie zum folgenden Personenkreis gehören, wird Ihnen der Berechtigungsnachweis nicht automatisch zugeschickt. Sie müssen den Berechtigungsnachweis beantragen.
Personen im Berliner Justizvollzug, die an Maßnahmen außerhalb des Vollzuges teilnehmenPersonen, die in Berlin leben (z.B. in einer besonderen Wohnform, einem Heim) und in einem anderen Bundesland Sozialhilfeleistungen beziehenPersonen ohne festen Wohnsitz, die Leistungen vom Land Berlin beziehenPersonen, die in Berlin ihren Wohnsitz haben und in einem anderen Bundesland Opferrenten oder Ausgleichsleistungen nach den SED-Unrechtsbereinigungsgesetzen beziehenPersonen aus der Bedarfsgemeinschaft, die wegen ihres Einkommens selbst keinen eigenen Leistungsanspruch haben, aber mit ihrem übersteigenden Einkommen den Bedarf der anderen Mitglieder decken.Personen, die Leistungen nach dem Sozialgesetzbuch (SGB) VIII oder andere nicht hier aufgeführte Leistungen beziehen, haben keinen Anspruch auf den Berechtigungsnachweis.Wenn Sie Leistungen vom Jobcenter beziehen und es Probleme gibt: Bitte um (Neu-)Ausstellung des BerechtigungsnachweisesAuch wenn Sie Leistungen vom Jobcenter erhalten, bekommen Sie den Berechtigungsnachweis nach jeder Neu- oder Weiterbewilligung Ihrer Leistungen erneut ausgestellt. Diese Ausstellung erfolgt nicht durch die Jobcenter selbst, sondern diese werden zeitlich verzögert immer in regelmäßigen Abständen zentral ausgestellt und versandt.
Wenden Sie sich bitte an Ihr Jobcenter und bitten um (Neu-)Ausstellung des Berechtigungsnachweises, wenn:
Sie trotz verstrichenem Drucktermin den Berechtigungsnachweis nicht erhalten haben,der nächste Drucktermin noch über 14 Tage dauert,Sie einen fehlerhaften Berechtigungsnachweis erhalten haben,der QR-Codes Ihres Berechtigungsnachweises wegen einer fehlerhaften Antragsstellung verbraucht ist,Sie den Berechtigungsnachweis oder die VBB-Kundenkarte Berlin S verloren haben,Sie den Berechtigungsnachweis nicht erhalten haben, aber Ihr übersteigendes Einkommen auf die anderen Mitglieder der Bedarfsgemeinschaft angerechnet wird und Ihr Leistungsanspruch deshalb 0 Euro beträgt"
Entschädigung bei Verdienstausfall beantragen,L100040.LB.492840665,['030000000000'],"Die Voraussetzungen der jeweiligen Regelung (Quarantäne/Tätigkeitsverbot oder nötige Betreuung) sind erfüllt.
Es gab keine Möglichkeit, den Verdienstausfall durch eine andere zumutbare Tätigkeit auszugleichen oder eine alternative, zumutbare Betreuung des Kindes zu gewährleisten.
Der Antrag auf Entschädigung muss innerhalb von 2 Jahren gestellt werden.
Es bestand keine Erkrankung bzw. Arbeitsunfähigkeit.
Der Verdienstausfall wurde durch keine anderweitige staatliche Maßnahme kompensiert."
Bildungspaket - Ansparen für Freizeiten,S100002.LB.S1000020010000006528,['020000000000'],"Leistungsberechtigt sind Kinder unter 18 Jahren, die (oder deren Eltern) Leistungen nach dem SGB II, dem SGB XII, der §§ 2 oder 3 AsylbLG oder Wohngeld oder Kinderzuschlag erhalten."
Leistungen nach dem Bildungs- und Teilhabepaket beantragen,L100108.LB.L100108_324466,['110000000000'],"Berechtigt sind Kinder, Jugendliche und junge Erwachsene bis zum 25. GeburtstagAusnahme: Bei Leistungen zum Mitmachen in Kultur, Sport und Freizeit sind Kinder und Jugendliche nur bis zum 18. Geburtstag berechtigt.Bei Bezug von Sozialhilfe oder Leistungen nach dem Asylbewerberleistungsgesetz gilt keine Altersbeschränkung.Auszubildende, die eine Ausbildungsvergütung erhalten, bekommen keine Leistungen aus dem Bildungspaket.Sie beziehen Leistungen zur Sicherung des LebensunterhaltsBezug von SozialhilfeBezug von Leistungen nach dem AsylbewerberleistungsgesetzBezug von BürgergeldBezug von WohngeldBezug von Kinderzuschlagoder vergleichbar geringem EinkommenSie haben einen berlinpass-BuT mit oder ohne PassbildDer berlinpass-BuT dient als Nachweis gegenüber der Schule oder Kita dafür, dass Ihr Kind Anspruch auf Leistungen aus dem Bildungspaket hat. Sie bekommen den berlinpass-BuT bei Ihrer Leistungsstelle."
Sozialhilfe Hilfe in sonstigen Lebenslagen Bewilligung,S100002.LB.S1000020010000012302,['020000000000'],"Ausschluss vorrangiger Leistungen
Nachgewiesener Bedarf"
Sozialrabatt,S100002.LB.S1000020010000003422,['020000000000'],"Den Sozialrabatt können nur Personen erhalten, wenn sie existenzsichernde Leistungen eines Hamburger Leistungsträgers beziehen (auch aufstockend). Dazu gehören folgende Leistungsarten:
SGB II (Bürgergeld) - Jobcenter team.arbeit.hamburg
SGB XII (Hilfen zum Lebensunterhalt) - Bezirksämter/ Fachämter Grundsicherung
Asylbewerberleistungsgesetz (AsylbLG) -  Bezirksämter/ Fachämter Grundsicherung /Amt für Migration
Das gilt auch für die Haushaltsmitglieder. Der Wohnsitz muss in Hamburg sein.
Kein Rabatt für Wohngeldempfänger (da dies keine existenzsichernde Leistung ist, sondern ein Zuschuss zu den Wohnkosten)."
Schiedspersonen,L100002.LB.c427e57f3036e8651c8111adb3f1ba82,['050000000000'],nicht angegeben
Familienpass,L100012.LB.10047824,['010000000000'],nicht angegeben
Präventive Maßnahmen zur Schuldenproblematik Durchführung,L100002.LB.b1801b7db0f3cd0a71fbb8ded5570cfc,['050000000000'],nicht angegeben
Ermäßigtes Nahverkehrsticket,L100002.LB.70b2f13e9fe1fcd537928340b8ef44c9,['050000000000'],nicht angegeben
Bildungspaket - Kostenerstattung für Schulbedarf für Schüler (Bezieher von Bürgergeld unter 25),S100002.LB.S1000020010000006195,['020000000000'],"Kinder unter 25 Jahren (oder deren Eltern), die Leistungen nach dem SGB II (Bürgergeld / Sozialgeld) erhalten
Besuch einer allgemein- oder berufsbildenden Schule, auch Vorschule
kein Erhalt einer Ausbilungsvergütung"
Hilfen für Familien in Not,L100009.LB.6000119,['140000000000'],"Familien oder Alleinerziehende mit mindestens einem Kind oder mit behinderten oder pflegebedürftigen Angehörigen sowie Schwangere
ständiger Wohnsitz im Freistaat Sachsen
Bedürftigkeit (zum Beispiel wirtschaftliche Notlage)
Alle zustehenden gesetzlichen Leistungen wurden vorrangig in Anspruch genommen und es werden ergänzende Hilfen benötigt."
Grundsicherung im Alter und bei dauerhafter Erwerbsminderung / Bremerhaven,S100003.LB.S1000030000567175,['040120000000'],"Erreichen der Altersgrenze (nach Geburtsjahren gestaffelt) oder älter
dauerhaft erwerbsgemindert
Einkommen unterhalb des maßgeblichen Grundsicherungsbedarfs
kein verwertbares Vermögen"
"Bildungs- und Teilhabeleistungen für Kinder, Jugendliche und junge Erwachsene bei Bezug von Kinderzuschlag beantragen",L100002.LB.211ebbb5ab6ef01083b89e6249888dbc,['050000000000'],"Sie beziehungsweise die betroffenen Kinder, Jugendlichen oder jungen Erwachsenen:    erhalten den Kinderzuschlag besuchen eine allgemein- oder berufsbildende Schule, eine Tageseinrichtung oder Kindertagespflege   Altersobergrenze für Teilhabeleistungen zur Teilnahme an Kultur, Sport und Freizeit in der Gemeinschaft: 18 Jahre Altersobergrenze für Bildungsleistungen: 25 Jahre   Ausflüge:    Mehrtägige Ausflüge müssen im Rahmen der schulrechtlichen Bestimmungen liegen.     Persönlicher Schulbedarf    Je nach Alter des Kindes kann eine Schulbescheinigung erforderlich sein.     Schülerbeförderung    Die Kosten werden nicht komplett von Dritten beispielsweise dem Schulträger übernommen. Wird nur ein Teil der Fahrtkosten durch Dritte übernommen, kann nur der Eigenanteil erstattet werden. Die Entfernung zwischen Ihrem Wohnort und Ihrer Schule oder Einrichtung ist höher als die maßgeblich geregelte Mindestentfernung. Unter bestimmten Voraussetzungen kann die nächstgelegene Einrichtung auch eine besondere Ausrichtung haben, beispielsweise ein sportliches oder sprachliches Profil, oder es handelt sich um eine Waldorfschule.     außerschulische Lernförderung    Die Schule muss bestätigen, dass Sie die zusätzliche Lernförderung brauchen. Wenn es schulische Angebote gibt, müssen Sie diese vorrangig nutzen. Ob die Versetzung gefährdet ist, ist egal. Die Lernförderung wird durch einen geeigneten Träger oder eine geeignete private Person angeboten.     gemeinschaftliche Mittagsverpflegung    Sie, beziehungsweise Ihr Kind, besuchen eine Schule, eine Kita, eine Kindertagespflegeeinrichtung oder einen Hort. Die Mittagsverpflegung wird von der Einrichtung angeboten oder ist durch einen Kooperationsvertrag mit der Einrichtung (zum Beispiel zwischen Schule und Hort) vereinbart. Das Essen wird gemeinschaftlich ausgegeben und eingenommen."
Übernahme der Bestattungskosten,L100039.LB.198300025,['070000000000'],"Die nachfragende Person ist zur Tragung der Bestattungskosten verpflichtet.
Der zur Tragung der Bestattungskosten verpflichteten Person ist es finanziell nicht zuzumuten die Kosten aus eigenen Mitteln zu tragen.
Es werden nur die im Einzelfall erforderlichen Kosten der Bestattung übernommen."
Sozialhilfe; Beantragung der Übernahme von Bestattungskosten,L100042.LB.89171,['090000000000'],"Sie sind zur Tragung der Bestattungskosten verpflichtet.
	Rechtlich verpflichtet sind:
	vertraglich Verpflichtete z. B. aus Altenteil oder aus einem notariellen VertragErbenVäter nichtehelicher Kinder beim Tod der Mutter infolge Schwangerschaft oder Geburt, auch für die Kosten der Beerdigung des totgeborenen Kindes oder einer Fehlgeburtunterhaltsverpflichtete Ehegatte, Eltern und Kinder des Verstorbenenöffentlich-rechtlich verpflichtete Bestattungspflichtige, die in Erfüllung einer öffentlich-rechtlichen Bestattungspflicht nach dem Bestattungsgesetz einen Bestattungsauftrag erfüllt haben. In entsprechender Reihenfolge: Ehegatten, Kinder / Adoptivkinder, Eltern / Adoptiveltern, Großeltern, Enkelkinder, Geschwister, Neffen/ Nichten, Verschwägerte 1. Grades
Die verstorbene Person hat keinen ausreichenden Nachlass hinterlassen.Sie können die Kosten der Bestattung nicht aus eigenen Mitteln tragen.Die Kosten sind unter sozialhilferechtlichen Aspekten angemessen.Sie sind durch einen mit dem Bestattungsinstitut geschlossenen Werkvertrag oder einen von der zuständigen Ordnungsbehörde erlassenen Leistungsbescheid tatsächlich mit den Kosten belastet."
Bildungspaket - Leistungen für Bildung und Teilhabe beantragen,L100022.LB.1963,['080000000000'],"Die Familie erhält: 
  
Bürgergeld
Sozialhilfe (Hilfe zum Lebensunterhalt, Grundsicherung im Alter oder bei Erwerbsminderung)
Kinderzuschlag
Wohngeld
Asylbewerberleistungen (Anspruch kann bestehen)


Darüber hinaus kann ein Anspruch entstehen, wenn Eltern zwar keine der genannten Sozialleistungen beziehen, jedoch die spezifischen Bildungs- und Teilhabebedarfe des Kindes nicht decken können (Fälle sogenannter Bedarfsauslösung).

Kind ist unter 25 Jahre alt (gilt nicht für Anspruchsberechtigte nach dem SGB XII)Ausnahme: Bei Teilnahme an Sport-, Freizeit- und Kulturangeboten muss das Kind unter 18 Jahre alt sein.
Kind besucht eine allgemein- oder berufsbildende Schule
Kind erhält keine Ausbildungsvergütung (gilt nicht für Anspruchsberechtigte nach dem SGB XII)
für die Übernahme der Mittagessenskosten: 
  
Schule oder Kindertagesstätte bietet ein Mittagessen an.
Kinder oder Jugendliche sind unter 25 Jahre alt (gilt nicht für Anspruchsberechtigte nach dem SGB XII).

für die Übernahme der Schülerbeförderungskosten: 
  
Das Kind fährt zur nächstgelegenen Schule, die den gewählten Bildungsgang anbietet.
Die Kosten werden nicht anderweitig abgedeckt.

für den Antrag auf Übernahme der Kosten für Nachhilfeunterricht: 
  
Die Schule bestätigt die Notwendigkeit.
Es bestehen keine vergleichbaren schulischen Angebote.
Die Lernförderung muss angemessen und geeignet sein, um die nach den schulrechtlichen Bestimmungen festgelegten wesentlichen Lernziele zu erreichen."
"Bildungspaket - Informationen für Leistungsanbieter für die Bereiche Kultur, Musik und Sport, Registrierung in der Anbieterdatenbank",S100002.LB.S1000020010000006118,['020000000000'],"Leistungsberechtigt sind ???Babys, Kinder und Jugendliche unter 18 Jahren, die (oder deren Eltern) Leistungen nach dem SGB II, dem SGB XII, der §§ 2 oder 3 AsylbLG oder Wohngeld oder Kinderzuschlag erhalten. Der Nachweis der Leistungsberechtigung (Bewilligungs- oder Kurzbescheid) ist vorzuzeigen(siehe Link 'Muster von Leistungsbescheinigungen')."
Sozialpass beantragen,L100009.LB.6000971,['140000000000'],"Antragsberechtigt sind Sie in der Regel bei Bezug von

Hilfe zum Lebensunterhalt oder Grundsicherung nach Sozialgesetzbuch XII
Arbeitslosengeld oder Sozialgeld nach Sozialgesetzbuch II
Leistungen nach dem Asylbewerberleistungsgesetz

weitere Voraussetzung:

Sie haben Ihren Hauptwohnsitz in der Stadt oder Gemeinde, die den Pass für Geringverdiener ausstellt

Welche genauen Einkommensgrenzen gelten und welche weiteren Voraussetzungen Sie erfüllen müssen, erfahren Sie bei der zuständigen Stelle."
Förderung zur Teilnahme an Bildungsangeboten für junge Erwachsene bei Bezug von Grundsicherung beantragen,S100002.LB.S1000020010000012906,['020000000000'],nicht angegeben
Schuldnerberatung wahrnehmen,L100002.LB.df8d5c9af8c07b206aae56a24b3566e9,['050000000000'],"Für eine Schuldnerberatung bei einer öffentlichen oder privaten Einrichtung:    Sie haben bereits Schulden oder Ihnen droht eine finanzielle Notlage.     Für eine Schuldnerberatung beim Jobcenter:    Sie werden in der Arbeitsvermittlung vom Jobcenter betreut, erhalten Bürgergeld und beziehen kein Arbeitslosengeld (ALG I). Weitere Voraussetzungen kann das zuständige Jobcenter prüfen."
"Förderung aus dem ESF Plus-Programm ""EhAP Plus - Eingliederung hilft gegen Ausgrenzung der am stärksten benachteiligten Personen"" beantragen",B100019.LB.103963660,['000000000000'],"Sie können einen Antrag stellen  als juristische Person des privaten und öffentlichen Rechts, als rechtsfähige Personengesellschaft, beispielsweise als  Kommune, Träger der freien Wohlfahrtspflege, sonstiger gemeinnütziger Träger, Forschungsinstitut, Verband und Unternehmen.    Natürliche Personen sind von der Förderung ausgeschlossen. Beachten Sie folgende Voraussetzungen:  Bei der Planung müssen Sie die bereichsübergreifenden Grundsätze zur Gleichstellung der Geschlechter, Antidiskriminierung sowie die ökologische Dimension der Nachhaltigkeit beachten. Sie können die Zielgruppen im EhAP Plus in den Einzelzielen 1 und 2 auch über arbeitsmarktbezogene Inhalte informieren und beraten. Dabei werden keine eigenen Maßnahmen oder direkte Vermittlungen in Arbeit oder Ausbildung sowie zu konkreten Förderleistungen gemäß Sozialgesetzbuch (SGB) II beziehungsweise III gefördert. Eine direkte Heranführung der Zielgruppen an den Arbeitsmarkt ist nicht möglich."
Unterhaltsvorschuss Jährliche Anspruchsüberprüfung,L100002.LB.f15285197cd10071617d7b0d75c9d331,['050000000000'],"Die Anspruchsvoraussetzungen können § 1 Unterhaltsvorschussgesetz (UVG) entnommen werden.Für Kinder unter 12 Jahren: der Elternteil, bei dem das Kind lebt, ist ledig, verwitwet, geschieden oder von seinem Ehegatten oder Lebenspartner dauernd getrennt lebend das Kind erhält nicht oder nicht regelmäßig Zahlungen des anderen Elternteils bzw., wenn dieser verstorben ist, entsprechende Waisenbezüge in nicht ausreichender HöheZusätzlich für Kinder ab 12 Jahren: das Kind erhält keine SGB II-Leistungen, oder das Kind benötigt zusammen mit dem Unterhaltsvorschuss keine SGB II-Leistungen mehr, oder der alleinerziehende Elternteil im SGB II-Bezug erzielt ein eigenes Einkommen von mindestens 600,00 Euro brutto"
Entschädigung nach dem Infektionsschutzgesetz wegen (Kinder-)Betreuungserfordernis beantragen,L100022.LB.6003633,['080000000000'],"Ihr Kind kann seine Betreuungseinrichtung oder Schule aufgrund einer behördlich angeordneten Schließung oder Absonderung nicht besuchen.
Ihr Kind ist jünger als 12 Jahre alt oder Ihr Kind hat eine Behinderung und ist auf Hilfe angewiesen.
Sie haben einen Verdienstausfall.
Sie haben keine anderweitige zumutbare Betreuungsmöglichkeit.

Eine Entschädigung können Sie nicht erhalten:

für die Zeit einer eigenen Krankschreibung oder Krankmeldung.
bei Bezug von Kinderkrankengeld nach dem SGB V für den maßgeblichen Zeitraum.
für Auszubildende, die aus einem in ihrer Person liegenden Grund unverschuldet verhindert sind, ihre Pflichten aus dem Berufsausbildungsverhältnis zu erfüllen (gemäß § 19 Absatz 1 Ziffer 2 Buchstabe b BBiG).
bei fehlender Tarifregelung: für eine relativ unerhebliche Zeit des Tätigkeitsverbotes (nach § 616 BGB).
bei vertraglichen oder tarifrechtlichen Verpflichtungen des Arbeitgebers zur Lohnfortzahlung."
Entschädigung nach dem Infektionsschutzgesetz Gewährung für Verdienstausfallentschädigung sorgeberechtigter Personen,L100038.LB.211556334,['160000000000'],"Eltern haben Anspruch auf Entschädigung ihres Verdienstausfalls wegen Kinderbetreuung, wenn 

Sie Ihr Kind/ Ihre Kinder aufgrund der Schließung einer Betreuungseinrichtung oder Schule durch Behörden selbst betreuen 
Und Ihr Kind jünger als 12 Jahre alt ist oder eine Behinderung hat und auf Hilfe angewiesen ist
Und Sie einen Verdienstausfall haben
Und Sie für dieses Kind sorgeberechtigt sind
Und Sie keine anderweitige zumutbare Betreuungsmöglichkeit haben."
Beihilfe für Hinterbliebene in der landwirtschaftlichen Unfallversicherung erhalten,B100019.LB.102780584,['000000000000'],"Anspruch auf Hinterbliebenenbeihilfe besteht, wenn:  eine versicherte Person mit Verletztenrentenbezug nach einer Minderung der Erwerbsfähigkeit (MdE) in Höhe von mindestens 50 Prozent zum Todeszeitpunkt bezogen hat und der Tod der versicherten Person nicht Folge eines Arbeitsunfalls oder einer Berufskrankheit ist und somit kein Anspruch auf Hinterbliebenenrente aus der gesetzlichen Unfallversicherung besteht.  zusätzliche Voraussetzungen für Witwen, Witwer und hinterbliebene, eingetragene Lebenspartnerinnen und -partnern:  Die Witwer beziehungsweise Witweneigenschaft liegt vor. Es war keine Versorgungsehe.  zusätzliche Voraussetzungen für Vollwaisen:   Es besteht ein angenommener Waisenrentenanspruch (das heißt, die Vollwaise hätte bei Tod der versicherten Person infolge eines Versicherungsfalls in der gesetzlichen Unfallversicherung Anspruch auf Waisenrente). Die Vollwaise hat zum Todeszeitpunkt mit der verstorbenen Person zusammengelebt. Die Vollwaise wurde überwiegend von der verstorbenen Person unterhalten.  Voraussetzungen für laufende Beihilfe: Ihre Angehörige oder Ihr Angehöriger bezog zum Todeszeitpunkt eine oder mehrere Renten aus der landwirtschaftlichen Unfallversicherung, die  gegebenenfalls zusammen mit anderen Renten der gesetzlichen Unfallversicherung eine MdE in Höhe von 80 Prozent erreichen, mindestens 10 Jahre bezogen wurde(n) und hierdurch ist eine mindestens 10-prozentige Einbuße in den Hinterbliebenenleistungen der gesetzlichen Rentenversicherung nachweisbar."
Pass für Geringverdiener,S100002.LB.S1000020010000004844,['020000000000'],nicht angegeben
Notunterkünfte,S100003.LB.S1000030000242914,['040110000000'],Obdachlosigkeit
